,learning,depth,child_weight,mse
0,0.01,1.0,1.0,4.189516913951635
1,0.01,1.0,2.0,4.189516913951635
2,0.01,1.0,3.0,4.189516913951635
3,0.01,1.0,4.0,4.189516913951635
4,0.01,1.0,5.0,4.189516913951635
5,0.01,3.0,1.0,2.860980884082073
6,0.01,3.0,2.0,2.860980884082073
7,0.01,3.0,3.0,2.860980884082073
8,0.01,3.0,4.0,2.860980884082073
9,0.01,3.0,5.0,2.8608886227334844
10,0.01,5.0,1.0,2.772289906673581
11,0.01,5.0,2.0,2.7723650118593732
12,0.01,5.0,3.0,2.771987849783006
13,0.01,5.0,4.0,2.771402572445081
14,0.01,5.0,5.0,2.771310276310191
15,0.01,7.0,1.0,2.735727580971688
16,0.01,7.0,2.0,2.7361788681167227
17,0.01,7.0,3.0,2.7353886694786147
18,0.01,7.0,4.0,2.7354551032853083
19,0.01,7.0,5.0,2.7351285754536745
20,0.01,10.0,1.0,2.711201673302663
21,0.01,10.0,2.0,2.710781376948719
22,0.01,10.0,3.0,2.711591501420039
23,0.01,10.0,4.0,2.713345813997131
24,0.01,10.0,5.0,2.7118922850554115
25,0.01,15.0,1.0,2.728457382392646
26,0.01,15.0,2.0,2.7271466604368686
27,0.01,15.0,3.0,2.7234135468739296
28,0.01,15.0,4.0,2.7205259604789327
29,0.01,15.0,5.0,2.7153356150292742
30,0.05,1.0,1.0,3.449010073511179
31,0.05,1.0,2.0,3.449010073511179
32,0.05,1.0,3.0,3.449010073511179
33,0.05,1.0,4.0,3.449010073511179
34,0.05,1.0,5.0,3.449010073511179
35,0.05,3.0,1.0,2.6636269108035746
36,0.05,3.0,2.0,2.6640970298789175
37,0.05,3.0,3.0,2.6662327372544588
38,0.05,3.0,4.0,2.664602548338937
39,0.05,3.0,5.0,2.664790349613257
40,0.05,5.0,1.0,2.6265545818472384
41,0.05,5.0,2.0,2.6282162407510063
42,0.05,5.0,3.0,2.626302265209207
43,0.05,5.0,4.0,2.6255999609901663
44,0.05,5.0,5.0,2.630124713281387
45,0.05,7.0,1.0,2.60924307994531
46,0.05,7.0,2.0,2.609396440733737
47,0.05,7.0,3.0,2.6051683802023975
48,0.05,7.0,4.0,2.612757523665286
49,0.05,7.0,5.0,2.6111960459946366
50,0.05,10.0,1.0,2.6093794255572
51,0.05,10.0,2.0,2.6072324568880663
52,0.05,10.0,3.0,2.6090116735362177
53,0.05,10.0,4.0,2.6026950864273406
54,0.05,10.0,5.0,2.60518768268219
55,0.05,15.0,1.0,2.6421759173455257
56,0.05,15.0,2.0,2.642423063837847
57,0.05,15.0,3.0,2.644018406661821
58,0.05,15.0,4.0,2.631480626685172
59,0.05,15.0,5.0,2.6286131998829756
60,0.1,1.0,1.0,3.429844873339181
61,0.1,1.0,2.0,3.429844873339181
62,0.1,1.0,3.0,3.429844873339181
63,0.1,1.0,4.0,3.429844873339181
64,0.1,1.0,5.0,3.429844873339181
65,0.1,3.0,1.0,2.656569815648232
66,0.1,3.0,2.0,2.657183058420193
67,0.1,3.0,3.0,2.6550398038318828
68,0.1,3.0,4.0,2.6549555971490957
69,0.1,3.0,5.0,2.652332281822123
70,0.1,5.0,1.0,2.629785157890682
71,0.1,5.0,2.0,2.628286112725683
72,0.1,5.0,3.0,2.634661869261662
73,0.1,5.0,4.0,2.6220789567462
74,0.1,5.0,5.0,2.6293150803144165
75,0.1,7.0,1.0,2.6178635255809692
76,0.1,7.0,2.0,2.6176350332366147
77,0.1,7.0,3.0,2.624352164118938
78,0.1,7.0,4.0,2.6194536747725974
79,0.1,7.0,5.0,2.6204409263016646
80,0.1,10.0,1.0,2.626363217621181
81,0.1,10.0,2.0,2.630464212032672
82,0.1,10.0,3.0,2.6198296559226018
83,0.1,10.0,4.0,2.6327857926988103
84,0.1,10.0,5.0,2.6261013607163575
85,0.1,15.0,1.0,2.7061295924443494
86,0.1,15.0,2.0,2.7047500535232314
87,0.1,15.0,3.0,2.6837405755083372
88,0.1,15.0,4.0,2.6893980661362247
89,0.1,15.0,5.0,2.6772292389844856
